lat,lon,MaxWind,RMW,MIN_SLP,SHR_MAG,SHR_HDG,STM_SPD ,STM_HDG,SST,OHC,TPW,LAND,850TANG,850VORT,200DVRG,class
20.8,269,58,138,994,6,167,17,273,291,9999,55,67,134,-15,-10,1
20.7,267.3,60,172,993,10,168,10,270,295,9999,54,234,135,-8,26,1
20.6,266.3,75,35,981,15,184,8,270,299,9999,54,246,157,2,2,1
20.5,265.4,84,110,979,14,170,8,292,301,9999,52,207,150,21,-24,1
20.7,264.3,96,73,967,16,159,12,265,299,9999,50,119,154,34,-3,0
20.6,262.8,107,162,961,15,169,10,208,256,9999,47,-22,144,51,-3,0
19.9,261.7,108,127,989,13,197,16,255,131,9999,47,-161,112,63,21,0
30.8,296.8,40,164,1008,9,172,0,0,277,9999,46,1293,83,-53,-22,0
30.6,296.6,49,68,1004,12,177,2,300,278,9999,45,1286,79,-52,-28,0
30.3,296.2,51,131,1004,7,160,6,270,283,9999,47,1268,86,-39,-34,0
30.4,295.8,49,121,1000,7,157,5,270,283,9999,47,1229,99,-30,-4,0
30.2,295.5,67,121,998,10,152,8,263,284,9999,48,1215,99,-25,-60,0
30.1,294.7,61,92,998,14,172,8,277,286,9999,47,1155,111,-33,13,0
30,293.9,55,179,998,17,190,9,277,288,9999,48,1098,111,-31,1,0
30,292.9,61,122,997,17,198,9,270,292,9999,48,1020,95,-37,-39,0
29.8,292,67,89,995,18,194,10,264,289,9999,50,967,113,-50,-57,0
29.5,290,60,125,993,26,208,7,286,291,9999,51,849,124,-22,10,0
29.6,289,52,102,998,24,211,10,282,290,9999,51,775,98,-40,59,0
29.7,287.9,59,54,997,22,204,8,300,283,9999,50,702,122,-53,3,0
30,287.2,64,79,995,22,185,7,308,287,9999,50,636,129,-40,6,0
30,286.4,52,185,996,20,185,5,360,289,9999,51,599,116,-26,1,0
30.8,286.2,59,53,992,16,180,8,6,288,9999,52,511,123,-26,24,0
31.5,286.2,55,78,996,15,159,12,17,281,9999,51,444,119,-21,28,0
32.4,286.6,59,95,995,14,161,15,23,283,9999,50,392,123,-13,22,0
33.6,287.4,61,105,993,10,169,21,20,285,9999,52,364,131,-27,40,0
35.4,288.2,59,64,989,1,194,22,15,284,9999,51,372,132,-30,-21,0
37.6,289.1,72,70,987,4,290,18,2,289,9999,51,366,129,5,18,0
